Calificaci—n,"Categoria Real (1=Fraude, 0=NoFraude)",fp,tp,fpr,tpr,a
0.431818,0,1,0,9.97208E-05,0,9.88533E-05
0.431818,0,2,0,0.000199442,0,0.000197707
0.431818,0,3,0,0.000299162,0,0.00029656
0.431818,0,4,0,0.000398883,0,0.000395413
0.426254,0,5,0,0.000498604,0,0.000494267
0.426254,1,5,1,0.000498604,0.011363636,0.00059312
0.426254,0,6,1,0.000598325,0.011363636,0.000691973
0.426254,0,7,1,0.000698045,0.011363636,0.000790826
0.426254,0,8,1,0.000797766,0.011363636,0.00088968
0.426254,1,8,2,0.000797766,0.022727273,0.000988533
0.426254,0,9,2,0.000897487,0.022727273,0.001087386
0.426254,0,10,2,0.000997208,0.022727273,0.00118624
0.426254,0,11,2,0.001096929,0.022727273,0.001285093
0.426254,0,12,2,0.001196649,0.022727273,0.001383946
0.426254,1,12,3,0.001196649,0.034090909,0.0014828
0.426254,1,12,4,0.001196649,0.045454545,0.001581653
0.426254,1,12,5,0.001196649,0.056818182,0.001680506
0.426254,0,13,5,0.00129637,0.056818182,0.001779359
0.421905,0,14,5,0.001396091,0.056818182,0.001878213
0.421905,0,15,5,0.001495812,0.056818182,0.001977066
0.421905,1,15,6,0.001495812,0.068181818,0.002075919
0.421905,1,15,7,0.001495812,0.079545455,0.002174773
0.421905,0,16,7,0.001595533,0.079545455,0.002273626
0.421905,1,16,8,0.001595533,0.090909091,0.002372479
0.421905,1,16,9,0.001595533,0.102272727,0.002471333
0.421905,0,17,9,0.001695253,0.102272727,0.002570186
0.421905,0,18,9,0.001794974,0.102272727,0.002669039
0.294871115,1,18,10,0.001794974,0.113636364,0.002767892
0.294871115,0,19,10,0.001894695,0.113636364,0.002866746
0.232206847,0,20,10,0.001994416,0.113636364,0.002965599
0.232206847,0,21,10,0.002094136,0.113636364,0.003064452
0.232206847,0,22,10,0.002193857,0.113636364,0.003163306
0.232206847,0,23,10,0.002293578,0.113636364,0.003262159
0.232206847,0,24,10,0.002393299,0.113636364,0.003361012
0.232206847,0,25,10,0.00249302,0.113636364,0.003459866
0.232206847,0,26,10,0.00259274,0.113636364,0.003558719
0.232206847,0,27,10,0.002692461,0.113636364,0.003657572
0.232206847,1,27,11,0.002692461,0.125,0.003756425
0.232206847,0,28,11,0.002792182,0.125,0.003855279
0.232206847,0,29,11,0.002891903,0.125,0.003954132
0.232206847,0,30,11,0.002991623,0.125,0.004052985
0.232206847,1,30,12,0.002991623,0.136363636,0.004151839
0.232206847,1,30,13,0.002991623,0.147727273,0.004250692
0.232206847,0,31,13,0.003091344,0.147727273,0.004349545
0.232206847,0,32,13,0.003191065,0.147727273,0.004448399
0.232206847,0,33,13,0.003290786,0.147727273,0.004547252
0.232206847,0,34,13,0.003390507,0.147727273,0.004646105
0.232206847,0,35,13,0.003490227,0.147727273,0.004744958
0.232206847,0,36,13,0.003589948,0.147727273,0.004843812
0.232206847,0,37,13,0.003689669,0.147727273,0.004942665
0.232206847,0,38,13,0.00378939,0.147727273,0.005041518
0.232206847,0,39,13,0.00388911,0.147727273,0.005140372
0.232206847,1,39,14,0.00388911,0.159090909,0.005239225
0.232206847,0,40,14,0.003988831,0.159090909,0.005338078
0.232206847,0,41,14,0.004088552,0.159090909,0.005436932
0.232206847,0,42,14,0.004188273,0.159090909,0.005535785
0.232206847,0,43,14,0.004287994,0.159090909,0.005634638
